,checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,personal-status,class-label
245,< 0 DM,37,existing credits paid back duly till now,domestic appliances,2466,.. >= 1000 DM,1 <= ... < 4 years,3,none,1,if not A121 : building society savings agreement/ life insurance,26,none,rent,3,skilled employee / official,2,none,yes,female,single,2
246,0 <= ... < 200 DM,41,existing credits paid back duly till now,furniture/equipment,4776,... < 100 DM,4 <= ... < 7 years,4,none,2,real estate,34,none,for free,2,skilled employee / official,1,none,yes,male,divorced/separated/married,1
247,... >= 200 DM / salary assignments for at least 1 year,13,existing credits paid back duly till now,car (new),1349,unknown/ no savings account,1 <= ... < 4 years,2,none,2,unknown / no property,62,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,married/widowed,2
248,0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),business,8760,100 <= ... < 500 DM,... < 1 year,2,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,rent,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
249,no checking account,15,delay in paying off in the past,radio/television,3364,500 <= ... < 1000 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,skilled employee / official,2,"yes, registered under the customers name",no,male,single,2
250,no checking account,25,delay in paying off in the past,education,4205,... < 100 DM,4 <= ... < 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",49,none,own,2,unskilled - resident,1,none,yes,male,single,1
251,0 <= ... < 200 DM,51,existing credits paid back duly till now,car (used),5414,100 <= ... < 500 DM,4 <= ... < 7 years,3,none,4,real estate,47,none,own,2,skilled employee / official,2,none,yes,male,single,1
252,0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,4872,... < 100 DM,1 <= ... < 4 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",27,none,for free,2,unskilled - resident,1,none,yes,male,single,1
253,no checking account,30,existing credits paid back duly till now,car (used),4848,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",48,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
254,no checking account,24,existing credits paid back duly till now,radio/television,1097,unknown/ no savings account,unemployed,4,none,3,"if not A121/A122 : car or other, not in attribute 6",34,none,for free,2,unskilled - resident,1,none,yes,female,divorced/separated/married,2
255,0 <= ... < 200 DM,23,existing credits paid back duly till now,business,11870,... < 100 DM,1 <= ... < 4 years,4,guarantor,4,if not A121 : building society savings agreement/ life insurance,49,bank,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,married/widowed,1
256,< 0 DM,37,existing credits paid back duly till now,others,1048,... < 100 DM,1 <= ... < 4 years,2,none,3,real estate,51,none,own,2,unskilled - resident,1,none,yes,male,married/widowed,1
257,no checking account,14,existing credits paid back duly till now,car (new),996,unknown/ no savings account,1 <= ... < 4 years,1,none,2,"if not A121/A122 : car or other, not in attribute 6",40,none,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
258,< 0 DM,6,all credits at this bank paid back duly,car (used),12068,100 <= ... < 500 DM,... < 1 year,3,none,3,real estate,28,none,own,1,unskilled - resident,2,none,yes,male,single,1
259,no checking account,14,critical account/ other credits existing (not at this bank),retraining,2104,... < 100 DM,.. >= 7 years,2,none,4,real estate,36,none,for free,2,unskilled - resident,1,"yes, registered under the customers name",yes,male,single,1
260,no checking account,17,existing credits paid back duly till now,car (new),913,unknown/ no savings account,1 <= ... < 4 years,3,none,1,if not A121 : building society savings agreement/ life insurance,27,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
261,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),1250,... < 100 DM,1 <= ... < 4 years,2,none,4,real estate,35,bank,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
262,0 <= ... < 200 DM,37,existing credits paid back duly till now,radio/television,958,... < 100 DM,... < 1 year,2,none,1,if not A121 : building society savings agreement/ life insurance,30,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
263,0 <= ... < 200 DM,13,existing credits paid back duly till now,car (new),1018,... < 100 DM,unemployed,2,none,1,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,unskilled - resident,1,none,yes,female,single,1
264,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,1023,... < 100 DM,1 <= ... < 4 years,2,none,4,unknown / no property,50,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,2
265,< 0 DM,37,critical account/ other credits existing (not at this bank),education,1141,... < 100 DM,1 <= ... < 4 years,3,none,3,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,2
266,0 <= ... < 200 DM,45,existing credits paid back duly till now,radio/television,2008,unknown/ no savings account,.. >= 7 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
267,< 0 DM,40,no credits taken/ all credits paid back duly,car (used),4505,... < 100 DM,4 <= ... < 7 years,2,none,2,real estate,47,none,for free,1,management/ self-employed/ highly qualified employee/ officer,2,none,yes,male,single,1
268,0 <= ... < 200 DM,25,critical account/ other credits existing (not at this bank),car (new),4624,... < 100 DM,.. >= 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",36,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,1
269,no checking account,12,no credits taken/ all credits paid back duly,business,4827,... < 100 DM,.. >= 7 years,2,none,4,real estate,26,none,own,1,unemployed/ unskilled - non-resident,2,none,yes,male,single,1
270,no checking account,13,existing credits paid back duly till now,car (new),4640,... < 100 DM,... < 1 year,3,none,1,real estate,27,bank,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married,1
271,< 0 DM,32,no credits taken/ all credits paid back duly,car (new),10244,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
272,no checking account,14,critical account/ other credits existing (not at this bank),radio/television,2101,... < 100 DM,... < 1 year,2,none,4,real estate,54,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
273,no checking account,37,existing credits paid back duly till now,radio/television,1033,... < 100 DM,unemployed,2,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,rent,1,skilled employee / official,1,none,yes,male,divorced/separated/married,2
274,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1131,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,29,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated,1
275,0 <= ... < 200 DM,12,all credits at this bank paid back duly,car (new),10694,... < 100 DM,.. >= 7 years,2,none,3,if not A121 : building society savings agreement/ life insurance,48,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated,1
276,0 <= ... < 200 DM,5,existing credits paid back duly till now,business,11519,... < 100 DM,.. >= 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,rent,3,skilled employee / official,2,none,yes,male,single,2
277,no checking account,24,all credits at this bank paid back duly,radio/television,2026,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,married/widowed,1
278,< 0 DM,17,existing credits paid back duly till now,radio/television,4864,unknown/ no savings account,4 <= ... < 7 years,3,none,4,real estate,27,none,own,2,skilled employee / official,1,none,yes,male,single,1
279,0 <= ... < 200 DM,39,delay in paying off in the past,radio/television,4896,unknown/ no savings account,... < 1 year,2,none,2,if not A121 : building society savings agreement/ life insurance,35,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,male,divorced/separated/married,2
280,0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),car (new),909,... < 100 DM,.. >= 7 years,2,none,2,unknown / no property,36,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,female,single,1
281,< 0 DM,26,critical account/ other credits existing (not at this bank),repairs,4455,... < 100 DM,4 <= ... < 7 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
282,0 <= ... < 200 DM,17,critical account/ other credits existing (not at this bank),car (new),2073,... < 100 DM,... < 1 year,4,none,2,real estate,27,bank,for free,2,skilled employee / official,1,none,no,male,single,1
283,< 0 DM,4,critical account/ other credits existing (not at this bank),business,12382,unknown/ no savings account,4 <= ... < 7 years,3,co-applicant,2,unknown / no property,28,none,rent,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
284,< 0 DM,14,critical account/ other credits existing (not at this bank),others,5804,100 <= ... < 500 DM,... < 1 year,2,none,3,"if not A121/A122 : car or other, not in attribute 6",65,none,own,1,skilled employee / official,1,none,yes,female,single,1
285,0 <= ... < 200 DM,17,critical account/ other credits existing (not at this bank),car (used),1017,unknown/ no savings account,4 <= ... < 7 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",47,none,own,2,skilled employee / official,1,none,yes,male,single,1
286,0 <= ... < 200 DM,37,existing credits paid back duly till now,radio/television,5109,... < 100 DM,... < 1 year,2,none,2,real estate,31,none,own,1,skilled employee / official,1,none,no,female,divorced/separated/married,1
287,< 0 DM,20,existing credits paid back duly till now,car (new),12051,unknown/ no savings account,... < 1 year,4,co-applicant,4,unknown / no property,28,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
288,0 <= ... < 200 DM,18,all credits at this bank paid back duly,furniture/equipment,2607,... < 100 DM,1 <= ... < 4 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,rent,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
289,0 <= ... < 200 DM,40,existing credits paid back duly till now,radio/television,4357,... < 100 DM,.. >= 7 years,2,guarantor,2,unknown / no property,35,none,own,2,unskilled - resident,2,none,yes,male,single,1
290,0 <= ... < 200 DM,14,critical account/ other credits existing (not at this bank),radio/television,934,unknown/ no savings account,4 <= ... < 7 years,1,none,4,real estate,52,none,own,3,skilled employee / official,1,none,yes,male,single,1
291,0 <= ... < 200 DM,37,existing credits paid back duly till now,radio/television,2265,... < 100 DM,4 <= ... < 7 years,2,none,2,if not A121 : building society savings agreement/ life insurance,26,none,for free,2,skilled employee / official,1,none,yes,male,divorced/separated/married,1
292,< 0 DM,39,existing credits paid back duly till now,radio/television,910,500 <= ... < 1000 DM,.. >= 7 years,2,none,1,if not A121 : building society savings agreement/ life insurance,49,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
293,no checking account,24,critical account/ other credits existing (not at this bank),car (used),2567,unknown/ no savings account,.. >= 7 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,married/widowed,2
294,0 <= ... < 200 DM,26,existing credits paid back duly till now,radio/television,2074,100 <= ... < 500 DM,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,none,yes,male,single,1
295,0 <= ... < 200 DM,49,critical account/ other credits existing (not at this bank),furniture/equipment,933,unknown/ no savings account,1 <= ... < 4 years,3,none,1,if not A121 : building society savings agreement/ life insurance,27,none,for free,2,unskilled - resident,1,"yes, registered under the customers name",yes,male,single,1
296,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,993,... < 100 DM,... < 1 year,2,none,1,if not A121 : building society savings agreement/ life insurance,39,none,own,1,unskilled - resident,1,"yes, registered under the customers name",no,female,married/widowed,1
297,no checking account,24,existing credits paid back duly till now,furniture/equipment,4961,unknown/ no savings account,.. >= 7 years,1,none,4,unknown / no property,48,none,rent,1,unskilled - resident,1,none,yes,male,divorced/separated/married,2
298,no checking account,24,existing credits paid back duly till now,radio/television,1035,... < 100 DM,1 <= ... < 4 years,2,none,1,real estate,30,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,divorced/separated/married,1
299,no checking account,19,delay in paying off in the past,radio/television,2192,unknown/ no savings account,4 <= ... < 7 years,4,none,2,if not A121 : building society savings agreement/ life insurance,47,none,own,2,skilled employee / official,1,none,yes,male,single,1
300,< 0 DM,14,critical account/ other credits existing (not at this bank),car (new),972,... < 100 DM,.. >= 7 years,2,none,3,real estate,29,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,divorced/separated/married,1
301,no checking account,13,critical account/ other credits existing (not at this bank),radio/television,1458,... < 100 DM,unemployed,2,none,4,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married,1
302,0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,875,... < 100 DM,1 <= ... < 4 years,1,none,3,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,male,single,1
303,no checking account,15,existing credits paid back duly till now,furniture/equipment,996,.. >= 1000 DM,... < 1 year,4,guarantor,4,if not A121 : building society savings agreement/ life insurance,27,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,1
304,0 <= ... < 200 DM,17,no credits taken/ all credits paid back duly,radio/television,1117,.. >= 1000 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",47,bank,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
305,no checking account,15,existing credits paid back duly till now,business,1976,... < 100 DM,.. >= 7 years,4,none,2,real estate,46,stores,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
306,0 <= ... < 200 DM,19,existing credits paid back duly till now,car (new),5079,... < 100 DM,1 <= ... < 4 years,3,guarantor,2,"if not A121/A122 : car or other, not in attribute 6",47,none,rent,3,skilled employee / official,2,"yes, registered under the customers name",no,male,single,1
307,< 0 DM,24,critical account/ other credits existing (not at this bank),radio/television,1219,... < 100 DM,1 <= ... < 4 years,3,none,1,if not A121 : building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,none,no,male,divorced/separated/married,1
308,no checking account,43,delay in paying off in the past,business,7918,... < 100 DM,4 <= ... < 7 years,4,co-applicant,2,real estate,47,none,rent,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
309,no checking account,24,existing credits paid back duly till now,car (new),2950,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,3,real estate,32,none,rent,1,unskilled - resident,1,none,yes,female,divorced/separated/married,1
310,no checking account,13,existing credits paid back duly till now,car (new),1054,... < 100 DM,unemployed,1,none,4,unknown / no property,52,none,rent,3,skilled employee / official,1,none,yes,male,single,1
311,0 <= ... < 200 DM,45,critical account/ other credits existing (not at this bank),radio/television,918,... < 100 DM,1 <= ... < 4 years,4,co-applicant,4,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,male,single,1
312,0 <= ... < 200 DM,8,delay in paying off in the past,radio/television,2808,... < 100 DM,.. >= 7 years,3,none,2,if not A121 : building society savings agreement/ life insurance,27,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes,male,single,1
313,0 <= ... < 200 DM,37,existing credits paid back duly till now,car (new),6271,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,for free,3,skilled employee / official,1,"yes, registered under the customers name",no,female,divorced/separated/married,1
314,< 0 DM,37,critical account/ other credits existing (not at this bank),radio/television,2446,... < 100 DM,unemployed,2,none,2,unknown / no property,30,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,male,divorced/separated/married,1
315,no checking account,13,no credits taken/ all credits paid back duly,business,1383,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,4,real estate,32,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,divorced/separated/married,1
316,no checking account,18,existing credits paid back duly till now,furniture/equipment,2142,... < 100 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,1
317,no checking account,13,all credits at this bank paid back duly,car (used),14286,... < 100 DM,.. >= 7 years,4,guarantor,4,if not A121 : building society savings agreement/ life insurance,47,none,own,2,skilled employee / official,2,none,yes,male,single,1
318,0 <= ... < 200 DM,37,existing credits paid back duly till now,car (new),1378,500 <= ... < 1000 DM,... < 1 year,3,none,4,unknown / no property,32,none,for free,1,unskilled - resident,1,"yes, registered under the customers name",yes,male,divorced/separated/married,1
319,< 0 DM,13,existing credits paid back duly till now,car (new),950,.. >= 1000 DM,1 <= ... < 4 years,2,none,1,real estate,50,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,1
320,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,car (new),1403,... < 100 DM,4 <= ... < 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,33,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,divorced/separated/married,1
321,< 0 DM,38,existing credits paid back duly till now,radio/television,1096,500 <= ... < 1000 DM,1 <= ... < 4 years,2,none,1,real estate,45,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,divorced/separated/married,2
322,0 <= ... < 200 DM,23,critical account/ other credits existing (not at this bank),business,3308,... < 100 DM,... < 1 year,3,none,2,"if not A121/A122 : car or other, not in attribute 6",49,none,own,1,skilled employee / official,2,none,yes,male,single,1
323,< 0 DM,17,existing credits paid back duly till now,car (new),4386,... < 100 DM,... < 1 year,4,none,4,"if not A121/A122 : car or other, not in attribute 6",48,bank,for free,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,1
324,0 <= ... < 200 DM,14,no credits taken/ all credits paid back duly,education,2350,unknown/ no savings account,4 <= ... < 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",26,stores,own,1,skilled employee / official,2,none,yes,male,single,1
325,< 0 DM,14,existing credits paid back duly till now,car (new),1001,... < 100 DM,.. >= 7 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",35,none,for free,2,skilled employee / official,1,none,yes,female,married/widowed,1
326,no checking account,13,existing credits paid back duly till now,radio/television,960,unknown/ no savings account,... < 1 year,2,none,2,real estate,29,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
327,0 <= ... < 200 DM,14,delay in paying off in the past,radio/television,1004,100 <= ... < 500 DM,... < 1 year,2,none,2,"if not A121/A122 : car or other, not in attribute 6",48,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,divorced/separated/married,2
328,no checking account,49,critical account/ other credits existing (not at this bank),business,6014,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,for free,2,skilled employee / official,2,none,yes,male,single,1
329,0 <= ... < 200 DM,37,existing credits paid back duly till now,radio/television,3020,... < 100 DM,... < 1 year,3,none,4,real estate,34,none,own,1,skilled employee / official,1,none,yes,female,married/widowed,1
330,0 <= ... < 200 DM,23,existing credits paid back duly till now,business,5555,unknown/ no savings account,1 <= ... < 4 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",27,stores,own,2,skilled employee / official,2,none,yes,male,single,1
331,0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),retraining,7768,unknown/ no savings account,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,rent,1,skilled employee / official,1,none,yes,female,single,2
332,no checking account,13,all credits at this bank paid back duly,radio/television,3523,... < 100 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,35,none,for free,3,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
333,< 0 DM,27,existing credits paid back duly till now,radio/television,5903,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,49,stores,for free,1,skilled employee / official,2,none,yes,male,single,1
334,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,1110,100 <= ... < 500 DM,.. >= 7 years,4,none,2,unknown / no property,33,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,divorced/separated/married,2
335,no checking account,19,existing credits paid back duly till now,domestic appliances,2310,100 <= ... < 500 DM,.. >= 7 years,4,none,4,real estate,47,none,own,1,skilled employee / official,2,none,yes,male,single,1
336,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1442,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,4,real estate,32,none,rent,1,unskilled - resident,1,none,yes,male,married/widowed,1
337,no checking account,17,delay in paying off in the past,car (new),2183,... < 100 DM,... < 1 year,4,none,2,real estate,47,none,for free,2,skilled employee / official,1,none,yes,male,single,1
338,< 0 DM,24,critical account/ other credits existing (not at this bank),car (new),3014,unknown/ no savings account,... < 1 year,2,co-applicant,4,if not A121 : building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,none,yes,female,married/widowed,2
339,0 <= ... < 200 DM,8,existing credits paid back duly till now,car (used),11542,unknown/ no savings account,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",49,none,for free,1,skilled employee / official,2,none,yes,male,single,1
340,0 <= ... < 200 DM,16,no credits taken/ all credits paid back duly,education,6541,... < 100 DM,4 <= ... < 7 years,2,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",28,bank,own,2,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes,male,single,2
341,0 <= ... < 200 DM,17,all credits at this bank paid back duly,furniture/equipment,6469,... < 100 DM,4 <= ... < 7 years,4,none,2,if not A121 : building society savings agreement/ life insurance,50,none,own,1,skilled employee / official,2,none,yes,male,single,1
342,0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),car (new),1345,.. >= 1000 DM,1 <= ... < 4 years,2,none,1,real estate,45,none,own,2,unskilled - resident,1,"yes, registered under the customers name",no,female,divorced/separated/married,1
343,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (used),6480,... < 100 DM,.. >= 7 years,4,none,2,unknown / no property,26,none,for free,1,unskilled - resident,2,"yes, registered under the customers name",yes,male,single,1
344,no checking account,24,critical account/ other credits existing (not at this bank),business,7703,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,2,real estate,47,bank,own,2,skilled employee / official,2,none,yes,male,single,1
345,0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),car (new),1044,... < 100 DM,unemployed,2,none,3,if not A121 : building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
346,0 <= ... < 200 DM,47,existing credits paid back duly till now,radio/television,5594,unknown/ no savings account,.. >= 7 years,4,none,2,real estate,27,none,own,3,skilled employee / official,1,none,yes,male,single,1
347,no checking account,24,critical account/ other credits existing (not at this bank),car (new),2603,100 <= ... < 500 DM,.. >= 7 years,1,none,3,if not A121 : building society savings agreement/ life insurance,39,none,rent,2,skilled employee / official,1,none,yes,female,divorced/separated,1
348,0 <= ... < 200 DM,22,existing credits paid back duly till now,furniture/equipment,6338,unknown/ no savings account,4 <= ... < 7 years,2,none,2,real estate,36,bank,own,1,unskilled - resident,2,"yes, registered under the customers name",yes,male,single,2
349,0 <= ... < 200 DM,25,critical account/ other credits existing (not at this bank),furniture/equipment,968,... < 100 DM,1 <= ... < 4 years,2,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",48,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,none,yes,male,single,1
350,0 <= ... < 200 DM,15,existing credits paid back duly till now,retraining,6173,unknown/ no savings account,1 <= ... < 4 years,3,none,4,real estate,48,none,own,2,skilled employee / official,1,none,yes,male,single,1
351,< 0 DM,13,critical account/ other credits existing (not at this bank),education,1071,unknown/ no savings account,4 <= ... < 7 years,2,none,1,"if not A121/A122 : car or other, not in attribute 6",46,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
352,no checking account,45,all credits at this bank paid back duly,radio/television,4372,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",36,none,own,2,skilled employee / official,1,none,yes,male,single,1
353,< 0 DM,12,critical account/ other credits existing (not at this bank),others,2804,... < 100 DM,... < 1 year,3,none,4,unknown / no property,32,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,none,no,female,divorced/separated,1
354,no checking account,14,critical account/ other credits existing (not at this bank),car (new),5821,unknown/ no savings account,unemployed,1,none,2,unknown / no property,27,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,divorced/separated/married,1
355,0 <= ... < 200 DM,40,critical account/ other credits existing (not at this bank),car (new),4490,unknown/ no savings account,4 <= ... < 7 years,1,none,2,real estate,27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,divorced/separated,1
356,no checking account,37,existing credits paid back duly till now,car (new),4501,... < 100 DM,.. >= 7 years,3,none,3,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,1,skilled employee / official,1,none,yes,male,divorced/separated/married,1
357,no checking account,50,existing credits paid back duly till now,business,959,... < 100 DM,1 <= ... < 4 years,3,co-applicant,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,1
358,< 0 DM,13,existing credits paid back duly till now,radio/television,3529,.. >= 1000 DM,.. >= 7 years,3,none,1,"if not A121/A122 : car or other, not in attribute 6",37,none,own,2,skilled employee / official,1,none,no,male,single,1
359,< 0 DM,12,all credits at this bank paid back duly,business,2413,... < 100 DM,1 <= ... < 4 years,3,none,4,if not A121 : building society savings agreement/ life insurance,47,none,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,male,single,1
360,0 <= ... < 200 DM,13,existing credits paid back duly till now,car (new),1357,500 <= ... < 1000 DM,... < 1 year,2,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
361,no checking account,18,critical account/ other credits existing (not at this bank),furniture/equipment,2087,... < 100 DM,.. >= 7 years,4,none,3,if not A121 : building society savings agreement/ life insurance,35,none,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes,male,single,1
362,< 0 DM,26,critical account/ other credits existing (not at this bank),furniture/equipment,11090,... < 100 DM,4 <= ... < 7 years,2,none,4,unknown / no property,27,bank,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,male,single,1
363,< 0 DM,22,no credits taken/ all credits paid back duly,business,5931,... < 100 DM,... < 1 year,4,guarantor,2,"if not A121/A122 : car or other, not in attribute 6",49,none,rent,2,skilled employee / official,2,none,yes,male,single,1
364,no checking account,13,existing credits paid back duly till now,radio/television,6504,... < 100 DM,4 <= ... < 7 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",34,bank,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,divorced/separated,2
365,no checking account,16,critical account/ other credits existing (not at this bank),car (new),976,500 <= ... < 1000 DM,4 <= ... < 7 years,4,none,3,real estate,27,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,1
366,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1039,unknown/ no savings account,.. >= 7 years,3,none,1,"if not A121/A122 : car or other, not in attribute 6",53,none,rent,1,unskilled - resident,1,none,yes,male,divorced/separated/married,1
367,< 0 DM,17,existing credits paid back duly till now,retraining,4651,... < 100 DM,unemployed,3,none,2,"if not A121/A122 : car or other, not in attribute 6",48,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
